global,variant,year,medianageofpopulation
900,zero-migration,2045,35.3724332521373
900,constant-fertility,2050,31.8868540382417
900,constant-mortality,2050,35.4273400424466
900,high variant,2050,32.2990724505886
900,instant-replacement,2050,37.8774613461139
900,low variant,2050,40.1017138894451
900,medium variant,2050,36.1447697167062
900,no change,2050,31.41473555328
900,zero-migration,2050,36.1452632721079
900,constant-fertility,2055,31.341842693816
900,constant-mortality,2055,35.9906196371971
900,high variant,2055,32.5867693986095
900,instant-replacement,2055,38.748228446002
900,low variant,2055,41.7068947721262
900,medium variant,2055,36.8784000601791
900,no change,2055,30.8214107215347
900,zero-migration,2055,36.8702892639068
900,constant-fertility,2060,30.5974316622158
900,constant-mortality,2060,36.4434909443543
900,high variant,2060,32.8910567767828
900,instant-replacement,2060,39.2880882115993
900,low variant,2060,43.1248934295329
900,medium variant,2060,37.5300819592606
900,no change,2060,30.0608190656293
900,zero-migration,2060,37.5140859578742
900,constant-fertility,2065,29.7343809913559
900,constant-mortality,2065,36.7995698893355
900,high variant,2065,33.163256620885
900,instant-replacement,2065,39.7363306336992
900,low variant,2065,44.2840725949791
900,medium variant,2065,38.089401144864
900,no change,2065,29.2623071442672
900,zero-migration,2065,38.0679996143283
900,constant-fertility,2070,28.8637063899871
900,constant-mortality,2070,37.1040358168131
900,high variant,2070,33.3791586379501
900,instant-replacement,2070,40.1324326514548
900,low variant,2070,45.1654232028069
900,medium variant,2070,38.5878225027074
900,no change,2070,28.4550381345369
900,zero-migration,2070,38.5620774457875
900,constant-fertility,2075,27.9690586659106
900,constant-mortality,2075,37.4039564118434
900,high variant,2075,33.6062026251805
900,instant-replacement,2075,40.5128642866106
900,low variant,2075,45.8263620383454
900,medium variant,2075,39.0661955964867
900,no change,2075,27.6551295174735
900,zero-migration,2075,39.035228976308
900,constant-fertility,2080,27.0580333377631
900,constant-mortality,2080,37.7243616401366
900,high variant,2080,33.8979111556984
900,instant-replacement,2080,40.8587837204662
900,low variant,2080,46.5191014526379
900,medium variant,2080,39.558301362885
900,no change,2080,26.8653073820629
900,zero-migration,2080,39.5213456589171
900,constant-fertility,2085,26.1490022840181
900,constant-mortality,2085,38.0590610902524
900,high variant,2085,34.2653910031103
900,instant-replacement,2085,41.1629546317957
900,low variant,2085,47.254201242127
900,medium variant,2085,40.0794052955567
900,no change,2085,26.0932610992233
900,zero-migration,2085,40.0365044795375
900,constant-fertility,2090,25.2685916273252
900,constant-mortality,2090,38.3788358259437
900,high variant,2090,34.6865540897716
900,instant-replacement,2090,41.4629986200891
900,low variant,2090,48.0046927549499
900,medium variant,2090,40.6247088225696
900,no change,2090,25.347987420305
900,zero-migration,2090,40.5781486851523
900,constant-fertility,2095,24.4972274632634
900,constant-mortality,2095,38.6577944991038
900,high variant,2095,35.1217925110457
900,instant-replacement,2095,41.7852420210425
900,low variant,2095,48.7233892956032
900,medium variant,2095,41.1671311247296
900,no change,2095,24.6715322076512
900,zero-migration,2095,41.1184183994103
900,constant-fertility,2100,23.8006576490026
900,constant-mortality,2100,38.8925028913445
900,high variant,2100,35.5476857500698
900,instant-replacement,2100,42.112061099832
900,low variant,2100,49.3584798685934
900,medium variant,2100,41.6850391715105
900,no change,2100,24.0632446912562
900,zero-migration,2100,41.6349642878975
