global,variant,year,childdependencyratio2069
900,highvariant,2050,56.5830034192419
900,instantreplacement,2050,43.329496276593
900,lowvariant,2050,36.8044888004678
900,mediumvariant,2050,46.7068912122907
900,nochange,2050,59.6808715359992
900,zeromigration,2050,46.7259012605621
900,constantfertility,2055,63.6546947305031
900,constantmortality,2055,45.3908576588545
900,highvariant,2055,56.7804217434187
900,instantreplacement,2055,42.8592495288919
900,lowvariant,2055,35.7221541215879
900,mediumvariant,2055,46.1334860576348
900,nochange,2055,61.9864555909181
900,zeromigration,2055,46.1566836657454
900,constantfertility,2060,66.8186614739538
900,constantmortality,2060,44.7924888257911
900,highvariant,2060,57.1070921322202
900,instantreplacement,2060,42.61752680055
900,lowvariant,2060,34.6018209247197
900,mediumvariant,2060,45.6314503635516
900,nochange,2060,64.671637466816
900,zeromigration,2060,45.659820837526
900,constantfertility,2065,69.8691457181802
900,constantmortality,2065,43.9471909478168
900,highvariant,2065,56.7328930403191
900,instantreplacement,2065,42.3322320012182
900,lowvariant,2065,33.4636644425111
900,mediumvariant,2065,44.8582483904627
900,nochange,2065,67.1985455208577
900,zeromigration,2065,44.884979681649
900,constantfertility,2070,72.7824710257116
900,constantmortality,2070,42.9916612640061
900,highvariant,2070,55.7150779278357
900,instantreplacement,2070,41.9440373330192
900,lowvariant,2070,32.5226039470508
900,mediumvariant,2070,43.930344404226
900,nochange,2070,69.5765365943218
900,zeromigration,2070,43.9525764302728
900,constantfertility,2075,75.8491380299308
900,constantmortality,2075,42.219686638632
900,highvariant,2075,54.605529079976
900,instantreplacement,2075,41.6486905227504
900,lowvariant,2075,31.9679074938156
900,mediumvariant,2075,43.1512918543331
900,nochange,2075,72.0808403502578
900,zeromigration,2075,43.1685225936901
900,constantfertility,2080,79.1080391714881
900,constantmortality,2080,41.6982993868165
900,highvariant,2080,53.7292554352271
900,instantreplacement,2080,41.6006486799441
900,lowvariant,2080,31.7225755644418
900,mediumvariant,2080,42.592380767818
900,nochange,2080,74.7507535012495
900,zeromigration,2080,42.6039367072727
900,constantfertility,2085,82.4555385454433
900,constantmortality,2085,41.3109889194679
900,highvariant,2085,53.0572591535094
900,instantreplacement,2085,41.7527480323063
900,lowvariant,2085,31.6135631372551
900,mediumvariant,2085,42.1491824161829
900,nochange,2085,77.4960696829316
900,zeromigration,2085,42.1552994227488
900,constantfertility,2090,85.8472212171664
900,constantmortality,2090,40.8696005639066
900,highvariant,2090,52.6595164850057
900,instantreplacement,2090,41.6743157107831
900,lowvariant,2090,31.1107606531166
900,mediumvariant,2090,41.6468618186191
900,nochange,2090,80.261680254178
900,zeromigration,2090,41.6468349109708
900,constantfertility,2095,89.1499074985921
900,constantmortality,2095,40.3209793294992
900,highvariant,2095,52.1684105465166
900,instantreplacement,2095,41.529553851502
900,lowvariant,2095,30.3718872326918
900,mediumvariant,2095,41.0254680949133
900,nochange,2095,82.9503627352656
900,zeromigration,2095,41.0229692299103
900,constantfertility,2100,92.3551400218339
900,constantmortality,2100,39.7563685065414
900,highvariant,2100,51.5464664144986
900,instantreplacement,2100,41.3416226815293
900,lowvariant,2100,29.604666089302
900,mediumvariant,2100,40.3714148413563
900,nochange,2100,85.5781018542193
900,zeromigration,2100,40.3667056391815
