country,variant,freq,year,noofbirth
158,medium variant,5Yearly,2070,590.153
158,no change,5Yearly,2070,268.553
158,zero-migration,5Yearly,2070,590.153
158,constant-fertility,5Yearly,2075,240.393
158,constant-mortality,5Yearly,2075,552.711
158,high variant,5Yearly,2075,1046.377
158,instant-replacement,5Yearly,2075,1230.618
158,low variant,5Yearly,2075,235.233
158,medium variant,5Yearly,2075,559.005
158,no change,5Yearly,2075,242.735
158,zero-migration,5Yearly,2075,559.005
158,constant-fertility,5Yearly,2080,218.991
158,constant-mortality,5Yearly,2080,533.06
158,high variant,5Yearly,2080,1073.387
158,instant-replacement,5Yearly,2080,1340.512
158,low variant,5Yearly,2080,213.302
158,medium variant,5Yearly,2080,539.9
158,no change,5Yearly,2080,221.503
158,zero-migration,5Yearly,2080,539.9
158,constant-fertility,5Yearly,2085,198.491
158,constant-mortality,5Yearly,2085,525.103
158,high variant,5Yearly,2085,1143.282
158,instant-replacement,5Yearly,2085,1465.319
158,low variant,5Yearly,2085,188.99
158,medium variant,5Yearly,2085,532.677
158,no change,5Yearly,2085,201.14
158,zero-migration,5Yearly,2085,532.677
158,constant-fertility,5Yearly,2090,177.943
158,constant-mortality,5Yearly,2090,522.771
158,high variant,5Yearly,2090,1209.966
158,instant-replacement,5Yearly,2090,1499.34
158,low variant,5Yearly,2090,169.609
158,medium variant,5Yearly,2090,531.184
158,no change,5Yearly,2090,180.578
158,zero-migration,5Yearly,2090,531.184
158,constant-fertility,5Yearly,2095,158.299
158,constant-mortality,5Yearly,2095,519.007
158,high variant,5Yearly,2095,1237.929
158,instant-replacement,5Yearly,2095,1434.576
158,low variant,5Yearly,2095,159.245
158,medium variant,5Yearly,2095,528.216
158,no change,5Yearly,2095,160.775
158,zero-migration,5Yearly,2095,528.216
