continent,variant,freq,year,birthper1000population
905,nochange,5yearly,2055,11.603
905,zeromigration,5yearly,2055,10.662
905,constantfertility,5yearly,2060,10.922
905,constantmortality,5yearly,2060,11.913
905,highvariant,5yearly,2060,14.974
905,instantreplacement,5yearly,2060,12.476
905,lowvariant,5yearly,2060,7.587
905,mediumvariant,5yearly,2060,11.281
905,nochange,5yearly,2060,11.542
905,zeromigration,5yearly,2060,10.51
905,constantfertility,5yearly,2065,10.801
905,constantmortality,5yearly,2065,11.861
905,highvariant,5yearly,2065,14.719
905,instantreplacement,5yearly,2065,12.278
905,lowvariant,5yearly,2065,7.548
905,mediumvariant,5yearly,2065,11.159
905,nochange,5yearly,2065,11.491
905,zeromigration,5yearly,2065,10.387
905,constantfertility,5yearly,2070,10.701
905,constantmortality,5yearly,2070,11.845
905,highvariant,5yearly,2070,14.638
905,instantreplacement,5yearly,2070,12.202
905,lowvariant,5yearly,2070,7.478
905,mediumvariant,5yearly,2070,11.069
905,nochange,5yearly,2070,11.464
905,zeromigration,5yearly,2070,10.329
905,constantfertility,5yearly,2075,10.615
905,constantmortality,5yearly,2075,11.861
905,highvariant,5yearly,2075,14.744
905,instantreplacement,5yearly,2075,12.212
905,lowvariant,5yearly,2075,7.342
905,mediumvariant,5yearly,2075,11.011
905,nochange,5yearly,2075,11.45
905,zeromigration,5yearly,2075,10.323
905,constantfertility,5yearly,2080,10.529
905,constantmortality,5yearly,2080,11.88
905,highvariant,5yearly,2080,14.885
905,instantreplacement,5yearly,2080,12.209
905,lowvariant,5yearly,2080,7.176
905,mediumvariant,5yearly,2080,10.961
905,nochange,5yearly,2080,11.431
905,zeromigration,5yearly,2080,10.323
905,constantfertility,5yearly,2085,10.434
905,constantmortality,5yearly,2085,11.873
905,highvariant,5yearly,2085,14.895
905,instantreplacement,5yearly,2085,12.115
905,lowvariant,5yearly,2085,7.04
905,mediumvariant,5yearly,2085,10.893
905,nochange,5yearly,2085,11.397
905,zeromigration,5yearly,2085,10.289
905,constantfertility,5yearly,2090,10.333
905,constantmortality,5yearly,2090,11.834
905,highvariant,5yearly,2090,14.74
905,instantreplacement,5yearly,2090,11.945
905,lowvariant,5yearly,2090,6.964
905,mediumvariant,5yearly,2090,10.797
905,nochange,5yearly,2090,11.352
905,zeromigration,5yearly,2090,10.217
905,constantfertility,5yearly,2095,10.232
905,constantmortality,5yearly,2095,11.78
905,highvariant,5yearly,2095,14.521
905,instantreplacement,5yearly,2095,11.77
905,lowvariant,5yearly,2095,6.929
905,mediumvariant,5yearly,2095,10.687
905,nochange,5yearly,2095,11.31
905,zeromigration,5yearly,2095,10.133
